order_weight_kg,distance_km,is_peak_hour,items_count,delivery_time_min
0.8,4.9,1,8,57.22
11.5,3.6,0,15,41.41
14.3,7.4,0,9,20.87
1.9,2.2,0,2,15.38
5.8,2.4,1,20,72.43
10.7,3,1,12,53.85
9.5,2,1,19,77.64
2.2,9.4,1,18,53.74
14.7,5.1,1,18,64.71
2.4,8.3,1,7,49.88
7.8,7.2,0,5,24.19
14.2,6.1,0,15,37.73
10.9,9.3,1,14,59.42
7,7.3,0,3,8.93
2.1,6.6,1,10,41.78
6.1,7.2,0,5,18.36
1.9,3.3,0,20,29.98
6,4.1,0,19,24.4
10.7,3.4,0,11,30.86
6.5,8.6,0,15,26.12
4.2,9.2,0,2,11.27
6.5,0.7,0,2,30.28
14.2,3.2,1,3,60.85
4.7,9.5,0,4,16.22
4.6,2.5,0,19,34.48
